distance_to_entry,crowd_level,accessibility,user_type,friction_score
48.41,0.349,0.0688,0,0.3732
55.75,0.8337,0.7035,2,0.2438
244.06,0.5289,0.6679,2,0.3856
202.38,0.9389,0.1343,0,0.8287
225.3,0.1554,0.2818,0,0.549
69.04,0.6342,0.264,1,0.3778
273.37,0.0508,0.6343,1,0.3936
106.73,0.1308,0.9798,0,0.2244
169.99,0.4277,0.0097,0,0.6294
210.4,0.1491,0.036,1,0.4855
52.95,0.1274,0.3083,0,0.2863
70.92,0.2495,0.1028,2,0.1762
127.85,0.6207,0.1546,0,0.6
293.1,0.8108,0.8814,0,0.7279
278.1,0.7824,0.4117,2,0.6105
245.12,0.2668,0.7874,0,0.4965
21.23,0.4707,0.1996,1,0.2676
247.96,0.8713,0.2229,2,0.5939
105.2,0.8644,0.9669,1,0.378
157.73,0.6795,0.8437,1,0.452
43.45,0.9704,0.1786,1,0.4614
183.01,0.3457,0.7864,1,0.3646
158.31,0.3852,0.5766,1,0.3496
136.46,0.5199,0.8065,2,0.2185
225.17,0.6706,0.3642,0,0.7266
277.02,0.6232,0.6634,0,0.7142
97.09,0.3093,0.4084,1,0.304
170.78,0.1918,0.6649,1,0.321
271.81,0.6155,0.3009,2,0.563
98.12,0.2102,0.7858,2,0.0529
144.85,0.4422,0.2137,1,0.4669
288.35,0.736,0.6589,1,0.6793
193.55,0.3352,0.8184,0,0.4543
75.15,0.1991,0.0244,0,0.4066
187.27,0.7685,0.4554,2,0.4433
218.32,0.384,0.3997,0,0.5913
11.61,0.751,0.77,0,0.343
73.46,0.8041,0.6959,1,0.3455
82.27,0.8483,0.4565,1,0.4591
296.49,0.5955,0.95,1,0.5899
218.59,0.5048,0.8306,2,0.3152
56.16,0.8615,0.4501,0,0.5161
90.42,0.7777,0.4846,0,0.4974
32.47,0.2857,0.2717,1,0.2379
33.37,0.1508,0.383,0,0.2386
28.63,0.4076,0.5426,1,0.1708
251.54,0.3895,0.7698,2,0.3108
265.39,0.5757,0.477,1,0.6121
123.1,0.8916,0.8357,2,0.3244
168.38,0.6033,0.2205,0,0.606
150.84,0.3889,0.6689,1,0.362
253.75,0.9195,0.9807,2,0.4579
124.27,0.5644,0.0271,2,0.3542
261.39,0.1817,0.2602,1,0.5063
104.79,0.7612,0.3791,1,0.4529
33.75,0.0194,0.5394,1,0.053
29.9,0.9573,0.0403,0,0.5988
67.81,0.0204,0.1524,0,0.2768
43.17,0.9478,0.465,1,0.4395
58.66,0.6072,0.7479,0,0.3676
57.49,0.311,0.5787,1,0.2039
273.33,0.3753,0.9415,0,0.5276
210.28,0.6272,0.1019,1,0.6556
184.12,0.1211,0.9838,0,0.3126
134.23,0.3706,0.506,1,0.3206
131.82,0.4902,0.4335,1,0.4107
250.33,0.7073,0.4355,2,0.5173
198.63,0.6159,0.9196,1,0.4475
249.46,0.5925,0.3223,0,0.7369
35.13,0.8816,0.2439,1,0.4367
203.77,0.3364,0.4943,1,0.4254
71.51,0.7978,0.3403,2,0.3105
90.12,0.0102,0.9481,0,0.1336
127.86,0.5552,0.2403,1,0.4668
152.34,0.7929,0.0931,0,0.6817
80.56,0.664,0.369,2,0.2613
133.4,0.7459,0.3308,2,0.3722
98.92,0.2305,0.7213,1,0.182
165.4,0.7622,0.1851,0,0.6922
90.18,0.5896,0.7602,2,0.1566
39.15,0.1941,0.2275,0,0.2693
215.33,0.1266,0.0455,0,0.5614
212.25,0.1263,0.8685,1,0.285
13.56,0.2843,0.4787,1,0.1252
24.9,0.9411,0.4777,0,0.4652
31.48,0.6294,0.0536,0,0.4755
285.25,0.0852,0.2482,2,0.4039
185.83,0.7907,0.2257,2,0.4832
273.47,0.2974,0.5885,1,0.5049
190.1,0.6096,0.7401,0,0.558
86.75,0.0812,0.2399,2,0.0651
10.78,0.4505,0.5938,1,0.147
93.55,0.2827,0.8596,0,0.2786
277.93,0.7878,0.6251,2,0.5658
67.37,0.1148,0.2248,0,0.3208
249.72,0.0714,0.1659,1,0.4921
249.03,0.9212,0.4392,1,0.7394
212.92,0.9427,0.5005,1,0.6655
183.43,0.8894,0.7345,2,0.4046
36.48,0.9619,0.836,2,0.2094
16.02,0.7648,0.8214,2,0.0798
229.32,0.4705,0.6515,1,0.4792
179.75,0.6348,0.4917,0,0.5917
128.42,0.3211,0.1046,0,0.4739
211.17,0.2882,0.9452,2,0.1808
35.54,0.2524,0.1159,1,0.2604
249.23,0.0012,0.8694,1,0.3152
64.4,0.3618,0.7564,2,0.0485
24.97,0.2671,0.131,1,0.221
212.49,0.1214,0.9731,2,0.1646
215.84,0.3108,0.0137,1,0.5254
297.75,0.9129,0.4614,0,0.8827
54.65,0.9327,0.2919,2,0.3164
252.07,0.9802,0.2437,2,0.6311
65.28,0.5994,0.7463,0,0.3803
90.11,0.79,0.4149,2,0.2947
10.74,0.7261,0.8375,2,0.1127
152.0,0.1486,0.5386,1,0.2822
231.23,0.3772,0.9329,0,0.5211
79.25,0.383,0.856,1,0.1743
225.96,0.7052,0.8114,1,0.5728
239.79,0.652,0.1521,0,0.735
289.95,0.332,0.1004,1,0.627
274.03,0.0153,0.1442,2,0.3958
31.7,0.7815,0.265,2,0.2596
198.45,0.8518,0.8523,2,0.3981
101.83,0.7187,0.7594,2,0.2046
29.84,0.6312,0.9209,0,0.2963
135.85,0.0984,0.6337,0,0.3081
211.26,0.9034,0.046,0,0.8115
118.7,0.1456,0.5312,2,0.1137
62.22,0.1751,0.6095,1,0.1599
79.84,0.9128,0.1431,1,0.5389
143.28,0.6668,0.8989,1,0.4126
206.51,0.158,0.4417,1,0.426
96.75,0.962,0.6903,1,0.4845
67.77,0.3847,0.4832,0,0.3325
114.1,0.2959,0.6993,0,0.3635
200.89,0.2745,0.5659,2,0.2809
292.34,0.9106,0.7452,1,0.7447
76.73,0.8019,0.219,0,0.5592
206.55,0.7209,0.6592,0,0.638
271.99,0.6463,0.3089,1,0.6644
115.81,0.1314,0.9096,1,0.1726
60.94,0.1322,0.5394,1,0.1517
274.91,0.8305,0.257,1,0.7997
95.59,0.8704,0.8042,1,0.435
50.82,0.9665,0.8601,2,0.2329
125.25,0.8457,0.5573,0,0.5899
14.04,0.5366,0.4548,2,0.1129
86.03,0.381,0.6385,1,0.2312
77.81,0.025,0.8842,2,0.0
186.92,0.6477,0.6354,1,0.5246
97.64,0.4083,0.1398,0,0.4497
152.86,0.0972,0.8873,0,0.2792
117.59,0.9494,0.6965,2,0.3445
225.26,0.1545,0.4149,0,0.529
188.54,0.9391,0.2797,2,0.5278
138.58,0.9506,0.8555,0,0.5983
116.53,0.9017,0.6448,0,0.5553
65.04,0.1222,0.848,1,0.0662
71.51,0.6395,0.9711,0,0.3541
80.63,0.1259,0.5646,0,0.2719
170.72,0.5864,0.8131,0,0.4884
52.79,0.9005,0.0028,0,0.6231
166.66,0.7985,0.1099,0,0.6854
113.89,0.7884,0.5889,0,0.5094
25.2,0.7417,0.5261,2,0.146
140.0,0.362,0.5937,1,0.3382
284.17,0.0434,0.7832,2,0.2661
142.83,0.964,0.0608,1,0.6803
133.62,0.108,0.7124,1,0.1902
33.43,0.6083,0.0657,1,0.3774
179.76,0.7122,0.3809,2,0.4246
141.58,0.6054,0.0992,2,0.3613
199.87,0.8777,0.5513,0,0.6925
267.55,0.4138,0.8274,1,0.4956
37.57,0.4268,0.6651,1,0.2199
209.18,0.4743,0.0912,0,0.6371
38.0,0.7388,0.8118,2,0.1068
287.42,0.5617,0.67,1,0.6049
202.95,0.7503,0.8681,2,0.3465
93.41,0.3124,0.1036,2,0.1915
200.45,0.2242,0.1082,2,0.3296
231.16,0.5741,0.8072,2,0.3947
247.34,0.6136,0.6427,0,0.6638
200.77,0.6935,0.029,1,0.6702
99.61,0.3398,0.0061,0,0.4711
126.23,0.1419,0.6332,0,0.2879
163.84,0.3762,0.4536,0,0.4789
219.26,0.7768,0.5676,0,0.7103
55.12,0.7544,0.0498,0,0.5231
201.96,0.4857,0.442,1,0.4875
158.58,0.3452,0.1109,2,0.3272
151.12,0.6671,0.0454,1,0.6002
25.89,0.2044,0.9453,0,0.1372
93.94,0.12,0.4974,1,0.184
120.26,0.7037,0.5003,2,0.325
30.9,0.8618,0.0423,0,0.5371
32.58,0.3131,0.4293,1,0.2052
131.13,0.1152,0.0209,1,0.3331
284.81,0.4601,0.6896,1,0.5456
254.9,0.2433,0.5889,2,0.3044
262.45,0.7458,0.2216,0,0.785
193.64,0.5306,0.1939,1,0.5485
287.88,0.6454,0.1477,0,0.807
67.21,0.6024,0.7602,2,0.1141
285.87,0.6279,0.464,2,0.5514
140.18,0.9242,0.5645,2,0.43
103.73,0.971,0.3161,1,0.5263
138.24,0.3028,0.2747,0,0.4495
31.52,0.4617,0.0376,1,0.3413
32.25,0.8643,0.8553,2,0.1655
121.5,0.5803,0.9542,2,0.1983
140.42,0.8098,0.6518,1,0.49
155.4,0.9577,0.4505,1,0.6271
34.46,0.6461,0.0391,2,0.2463
137.43,0.5227,0.1587,1,0.5024
122.35,0.7745,0.6789,0,0.5362
197.72,0.0659,0.0945,2,0.2739
83.08,0.8516,0.9644,2,0.2322
106.67,0.5827,0.1414,1,0.4443
200.26,0.6621,0.129,2,0.5126
99.78,0.3767,0.7917,0,0.3334
250.4,0.7388,0.6854,2,0.4527
204.43,0.5085,0.0182,1,0.5818
72.12,0.9477,0.4863,0,0.5726
54.93,0.2958,0.7881,2,0.0246
252.18,0.8837,0.0377,1,0.8226
189.23,0.5972,0.1543,0,0.6819
233.62,0.809,0.1655,1,0.6931
115.65,0.7196,0.9696,2,0.1985
227.08,0.4489,0.534,1,0.5389
237.47,0.904,0.194,2,0.6406
295.49,0.4617,0.2818,1,0.6686
131.41,0.1621,0.1997,2,0.1722
82.5,0.6412,0.8741,2,0.1794
216.31,0.5159,0.1247,0,0.6959
89.11,0.9053,0.1473,1,0.5166
274.05,0.8167,0.8846,0,0.7149
124.97,0.374,0.3862,0,0.4336
18.17,0.9308,0.8392,2,0.1553
52.35,0.0383,0.9174,1,0.0402
50.25,0.7055,0.4486,0,0.4569
15.51,0.2157,0.1495,2,0.0554
132.74,0.7762,0.2376,0,0.5961
131.75,0.7939,0.4571,0,0.6043
154.95,0.5361,0.632,2,0.2582
51.64,0.4292,0.6148,0,0.309
64.32,0.6682,0.5235,1,0.3197
162.56,0.5073,0.9883,2,0.175
263.27,0.0435,0.3869,1,0.438
14.71,0.7885,0.3448,2,0.2185
40.06,0.5819,0.7567,0,0.2851
168.34,0.8135,0.1751,2,0.4801
211.66,0.6317,0.8115,0,0.5892
283.65,0.037,0.2016,0,0.6213
101.52,0.3101,0.3982,2,0.1596
20.62,0.6469,0.2861,0,0.4221
106.26,0.1245,0.368,1,0.264
269.44,0.3866,0.9737,1,0.4763
116.53,0.7973,0.2667,0,0.6141
32.89,0.6025,0.8223,2,0.0634
39.75,0.3279,0.2956,1,0.2414
133.57,0.6898,0.3515,0,0.5851
274.37,0.6149,0.4349,2,0.5486
284.89,0.075,0.6375,1,0.4469
227.47,0.16,0.0311,2,0.3817
137.07,0.1262,0.236,2,0.1746
121.03,0.5672,0.6051,2,0.236
117.58,0.4439,0.0769,0,0.5181
125.43,0.6496,0.2496,0,0.5371
63.95,0.5177,0.9135,0,0.2801
85.48,0.4463,0.9964,1,0.2168
299.6,0.2002,0.1357,0,0.6895
270.62,0.4451,0.0878,2,0.5522
296.11,0.6678,0.7095,2,0.5185
268.49,0.8514,0.7118,2,0.5466
240.17,0.5088,0.1214,0,0.7316
78.65,0.494,0.3609,2,0.1908
243.06,0.5516,0.6119,0,0.6092
125.47,0.7169,0.4787,1,0.4795
248.77,0.0738,0.9724,2,0.159
145.09,0.5174,0.1283,2,0.3615
62.77,0.9663,0.4326,0,0.5657
160.25,0.3041,0.162,2,0.2779
284.77,0.5189,0.284,0,0.737
194.17,0.5508,0.1252,1,0.5859
37.09,0.641,0.5918,2,0.1209
201.03,0.7206,0.6051,2,0.3852
260.5,0.0812,0.9485,2,0.1953
71.13,0.5721,0.6181,0,0.3832
191.88,0.2897,0.9567,1,0.3026
244.13,0.4061,0.4535,2,0.3712
137.49,0.4843,0.204,2,0.2936
259.83,0.3193,0.988,1,0.4524
47.92,0.3705,0.5617,1,0.1937
45.53,0.4496,0.1409,0,0.3849
121.4,0.6154,0.2483,0,0.5666
280.79,0.7211,0.1898,0,0.8355
159.27,0.4988,0.3085,0,0.5272
124.04,0.4572,0.2407,2,0.2691
24.66,0.4949,0.8823,2,0.0241
92.87,0.0082,0.1075,0,0.3436
220.98,0.7639,0.3659,1,0.6187
172.93,0.3625,0.2886,1,0.4488
231.68,0.2797,0.9891,2,0.2343
47.31,0.0967,0.3732,1,0.1536
116.03,0.1443,0.6025,1,0.2241
23.14,0.137,0.333,1,0.1372
53.19,0.8931,0.1398,2,0.3335
123.96,0.6165,0.8426,2,0.2034
250.2,0.5323,0.7087,1,0.5384
14.82,0.3312,0.1096,1,0.2413
241.06,0.7253,0.688,0,0.6837
87.0,0.6556,0.9721,2,0.1502
219.21,0.5835,0.1705,2,0.4922
234.64,0.3802,0.8217,0,0.4926
284.98,0.1099,0.0189,1,0.5773
129.76,0.2039,0.5018,2,0.1709
263.12,0.7358,0.0623,0,0.8409
172.66,0.9981,0.4784,1,0.6215
60.22,0.9121,0.3423,1,0.4717
261.62,0.6807,0.8037,1,0.5965
65.76,0.2465,0.5581,0,0.2998
294.86,0.7712,0.7049,2,0.5635
101.94,0.3488,0.9337,2,0.0547
45.34,0.6766,0.3797,1,0.368
286.84,0.8046,0.2905,1,0.8011
32.92,0.924,0.656,2,0.2203
68.6,0.5386,0.933,2,0.0711
41.68,0.7409,0.2393,0,0.4842
164.0,0.6379,0.0525,1,0.5686
147.0,0.6812,0.1375,2,0.4401
55.8,0.6529,0.8806,1,0.2547
67.84,0.9639,0.3212,2,0.3284
232.93,0.6523,0.2322,2,0.5246
281.63,0.9132,0.1751,0,0.9331
20.54,0.8362,0.788,0,0.3921
289.02,0.926,0.8767,0,0.7702
184.81,0.9285,0.335,1,0.6845
167.56,0.4939,0.9386,2,0.2146
65.92,0.1126,0.1625,1,0.2347
218.39,0.0141,0.3371,1,0.3892
229.61,0.1755,0.8561,1,0.3742
159.43,0.0867,0.6693,0,0.3645
148.46,0.9358,0.0068,1,0.653
228.59,0.954,0.3019,2,0.6008
85.85,0.3596,0.2363,2,0.1645
98.97,0.4054,0.5025,2,0.186
210.18,0.6387,0.9406,1,0.4776
73.55,0.1336,0.1532,2,0.1358
118.35,0.7019,0.9128,2,0.2387
249.43,0.7619,0.6803,2,0.5071
33.74,0.4467,0.7038,0,0.2912
42.54,0.8288,0.9029,0,0.3777
53.46,0.3281,0.5203,0,0.3018
217.91,0.4888,0.8989,1,0.4567
141.5,0.5132,0.4568,0,0.504
205.1,0.3082,0.0218,1,0.5501
226.28,0.5783,0.0453,1,0.6648
166.94,0.0603,0.8942,1,0.1846
128.57,0.769,0.7658,2,0.2976
131.9,0.9929,0.3825,1,0.5814
207.99,0.6618,0.5393,2,0.4374
44.4,0.9928,0.3931,0,0.5491
74.58,0.0035,0.0227,1,0.2263
218.54,0.4241,0.3793,0,0.5852
110.39,0.2756,0.9374,2,0.0705
19.34,0.6602,0.6149,0,0.3215
29.51,0.5939,0.4464,2,0.155
24.12,0.7405,0.4023,0,0.4173
228.77,0.7761,0.1401,1,0.6908
275.76,0.5761,0.5775,2,0.4989
78.7,0.8763,0.9857,2,0.1909
97.15,0.061,0.9485,2,0.0
191.54,0.4272,0.4956,1,0.4842
204.69,0.7858,0.3187,1,0.6328
96.97,0.1839,0.5379,0,0.3232
97.21,0.7076,0.8058,0,0.4361
290.66,0.5573,0.1341,0,0.7895
105.78,0.0791,0.4498,1,0.1919
220.13,0.1905,0.2685,2,0.3295
21.47,0.0728,0.8047,2,0.0
172.07,0.4794,0.8695,1,0.3602
273.61,0.2118,0.19,2,0.4036
299.88,0.4789,0.2426,2,0.5611
125.02,0.2393,0.3216,1,0.3198
164.76,0.3593,0.2616,2,0.3235
145.14,0.8028,0.7224,1,0.4991
117.5,0.4139,0.5625,0,0.4231
14.7,0.5533,0.584,2,0.074
54.2,0.3299,0.3798,0,0.3208
199.84,0.6848,0.2573,1,0.636
196.09,0.4906,0.1682,1,0.5324
218.89,0.4883,0.9169,2,0.3253
287.6,0.5239,0.8391,0,0.6737
203.78,0.7643,0.4124,2,0.4546
215.08,0.0091,0.5057,1,0.3183
194.94,0.9339,0.9128,2,0.416
11.92,0.5516,0.0119,2,0.2019
165.36,0.2867,0.5022,2,0.2384
243.79,0.9098,0.107,0,0.8642
79.88,0.6198,0.2524,1,0.3923
125.1,0.3731,0.406,2,0.2016
212.2,0.3,0.8281,0,0.4669
258.88,0.7596,0.0935,1,0.7481
148.04,0.6367,0.7028,0,0.5043
135.83,0.7844,0.5659,0,0.5888
276.55,0.2298,0.9013,2,0.3182
147.9,0.0466,0.0743,1,0.3673
173.42,0.0329,0.9288,1,0.1768
70.08,0.1442,0.8207,1,0.1372
96.79,0.564,0.5667,1,0.3599
166.76,0.3838,0.7397,2,0.23
155.23,0.9743,0.0537,1,0.667
32.05,0.6052,0.6139,2,0.1109
234.33,0.0296,0.2733,1,0.4266
113.19,0.9411,0.4318,2,0.398
120.22,0.7722,0.2954,0,0.6043
33.79,0.1542,0.7117,2,0.0
122.99,0.3607,0.0915,1,0.4091
230.79,0.1022,0.0873,1,0.4814
170.87,0.408,0.0263,1,0.5171
183.11,0.7844,0.8637,0,0.564
122.46,0.0847,0.9011,0,0.2374
59.18,0.3807,0.1388,1,0.3004
52.32,0.1672,0.276,1,0.2009
32.31,0.2517,0.2466,2,0.067
188.83,0.4579,0.1355,0,0.6433
106.34,0.6202,0.8041,1,0.3322
134.88,0.8235,0.651,2,0.3185
102.99,0.9473,0.2009,1,0.5465
125.49,0.3191,0.7349,2,0.1324
177.0,0.2424,0.3761,1,0.387
280.3,0.1998,0.9973,0,0.5018
169.53,0.953,0.4616,2,0.4581
241.33,0.8313,0.0692,1,0.7695
50.36,0.3028,0.2527,0,0.3439
238.83,0.074,0.9907,1,0.3109
164.97,0.9235,0.8696,1,0.5194
239.31,0.3595,0.8955,2,0.2913
275.18,0.1094,0.2482,2,0.3727
197.63,0.0443,0.9836,2,0.104
290.38,0.3316,0.7962,0,0.563
85.03,0.5107,0.5188,2,0.1938
74.1,0.3741,0.4631,2,0.1348
155.14,0.345,0.0246,0,0.5363
276.96,0.0859,0.8313,2,0.2377
100.45,0.4553,0.2069,1,0.3795
38.31,0.722,0.4524,0,0.4077
244.95,0.1151,0.8492,2,0.1944
242.01,0.9299,0.7405,2,0.5008
56.44,0.5598,0.9585,0,0.3068
192.63,0.1864,0.6573,1,0.3145
188.09,0.1973,0.5922,1,0.323
72.29,0.2783,0.7038,0,0.2697
241.86,0.5369,0.3658,0,0.675
86.08,0.8626,0.5277,2,0.2943
122.71,0.3925,0.1142,1,0.4393
189.04,0.8137,0.706,1,0.5723
181.15,0.6721,0.3132,0,0.6326
63.08,0.6934,0.5108,1,0.3609
176.69,0.423,0.4867,2,0.3074
197.13,0.9999,0.5549,1,0.642
64.26,0.842,0.6194,1,0.4143
150.54,0.1951,0.3839,2,0.1976
153.54,0.6847,0.4156,1,0.5062
33.97,0.0309,0.7611,1,0.0015
75.2,0.2887,0.7807,2,0.0523
232.12,0.5497,0.1132,0,0.704
167.5,0.9909,0.542,0,0.7053
138.0,0.2185,0.4252,2,0.1982
227.89,0.2977,0.9993,1,0.3519
260.04,0.087,0.8653,0,0.464
78.71,0.8107,0.5879,1,0.4259
186.98,0.4282,0.6162,0,0.5259
243.58,0.5701,0.5323,2,0.4408
103.86,0.7041,0.2893,1,0.4915
159.18,0.9002,0.8152,0,0.6186
237.85,0.9188,0.9925,2,0.4375
261.16,0.2497,0.7114,0,0.5525
206.11,0.4895,0.5774,1,0.4927
118.8,0.0755,0.7946,0,0.2399
227.44,0.6947,0.8773,1,0.5559
104.91,0.0025,0.7741,2,0.0
291.92,0.6348,0.6973,0,0.7383
125.34,0.9681,0.8248,1,0.468
250.22,0.3378,0.5779,2,0.3791
238.61,0.8942,0.7623,0,0.6944
237.33,0.4596,0.1242,0,0.6885
10.2,0.958,0.2023,2,0.3147
265.82,0.3019,0.8744,1,0.4251
114.53,0.0824,0.6645,2,0.0277
124.94,0.3055,0.6994,0,0.3502
36.45,0.0952,0.2134,0,0.2233
75.6,0.68,0.0093,2,0.3202
44.97,0.8603,0.694,1,0.324
121.09,0.7308,0.1024,1,0.529
96.78,0.3827,0.8134,0,0.3249
206.37,0.0684,0.5633,2,0.2098
137.63,0.7224,0.6281,0,0.5589
188.66,0.4424,0.2172,0,0.5728
45.72,0.73,0.3515,1,0.3627
50.55,0.277,0.0842,2,0.142
219.14,0.2849,0.9413,0,0.461
200.94,0.3016,0.5177,2,0.2647
123.61,0.6462,0.7838,0,0.4545
42.7,0.4996,0.5939,2,0.1235
13.5,0.3611,0.3165,1,0.225
174.83,0.3654,0.6829,1,0.4008
233.41,0.0167,0.0675,1,0.4454
277.55,0.9487,0.398,1,0.7965
155.3,0.4154,0.7018,0,0.4464
165.92,0.1527,0.0836,0,0.4863
68.93,0.8081,0.5364,1,0.4041
231.33,0.6498,0.6432,1,0.5777
221.69,0.8465,0.0579,0,0.8427
43.64,0.6123,0.055,2,0.2633
224.79,0.1194,0.7079,2,0.1881
153.96,0.3467,0.5172,2,0.2144
117.84,0.7498,0.8735,2,0.2677
233.71,0.0294,0.8071,1,0.3209
86.26,0.9751,0.6275,1,0.4625
114.44,0.4996,0.5669,1,0.3326
234.27,0.8943,0.6741,0,0.7133
157.56,0.044,0.8629,0,0.2519
115.55,0.9202,0.179,0,0.6628
275.04,0.7407,0.4194,1,0.6928
275.6,0.3199,0.826,2,0.3325
155.59,0.9019,0.1793,2,0.5221
286.68,0.0689,0.4651,1,0.4975
100.1,0.0864,0.4567,1,0.1911
173.5,0.3039,0.6227,1,0.3542
291.84,0.9978,0.7759,2,0.6358
230.54,0.2451,0.0064,1,0.5217
167.05,0.6359,0.6935,0,0.5615
10.42,0.6573,0.849,2,0.0443
69.51,0.9831,0.4198,0,0.5927
51.29,0.2798,0.0439,0,0.3899
160.73,0.7008,0.3725,2,0.367
37.72,0.1335,0.82,0,0.1448
28.06,0.6624,0.1307,1,0.3534
101.35,0.8008,0.7007,2,0.2617
141.3,0.2336,0.9436,0,0.3218
179.57,0.1554,0.1644,1,0.3997
45.01,0.3583,0.7703,1,0.1474
86.85,0.1199,0.1576,2,0.109
214.36,0.6033,0.215,1,0.5886
216.24,0.9684,0.3962,0,0.7947
85.45,0.9907,0.0311,1,0.61
171.23,0.5501,0.0947,0,0.6487
50.54,0.012,0.8304,0,0.0918
248.87,0.3722,0.6303,2,0.3326
179.97,0.9174,0.075,0,0.7579
197.34,0.8093,0.092,1,0.6582
283.26,0.0506,0.9241,1,0.3971
124.55,0.0295,0.6832,0,0.2517
273.41,0.275,0.446,0,0.5892
189.56,0.2458,0.2951,1,0.4543
148.92,0.0877,0.383,1,0.2794
266.55,0.5258,0.6308,2,0.4554
296.93,0.7819,0.3591,2,0.6441
109.77,0.5657,0.3216,1,0.3991
102.47,0.219,0.8958,1,0.1447
297.54,0.5294,0.7668,0,0.7067
39.04,0.6569,0.2665,2,0.1885
298.95,0.2194,0.8465,1,0.4672
253.37,0.8452,0.1761,2,0.6097
224.05,0.3588,0.5916,2,0.3354
284.79,0.5636,0.5631,0,0.732
245.02,0.9704,0.5421,0,0.7982
36.17,0.2326,0.2188,2,0.0706
106.2,0.6141,0.8064,1,0.346
276.45,0.8443,0.3236,0,0.8243
214.36,0.1417,0.1109,2,0.3506
288.56,0.3736,0.9419,1,0.5004
107.6,0.3226,0.9759,2,0.0861
239.63,0.9607,0.6492,0,0.7783
172.97,0.8896,0.6137,1,0.5515
180.8,0.1754,0.3068,2,0.2389
61.54,0.0018,0.702,2,0.0
298.34,0.9652,0.0324,2,0.7479
244.55,0.6114,0.6396,0,0.6791
50.79,0.7453,0.238,1,0.3895
266.74,0.0887,0.709,2,0.2831
107.37,0.0114,0.2097,2,0.0772
84.43,0.108,0.0013,1,0.2805
131.7,0.1663,0.414,1,0.284
118.85,0.8288,0.7887,2,0.2997
209.28,0.1627,0.0737,0,0.5438
102.43,0.9517,0.0742,0,0.6952
56.66,0.075,0.9418,0,0.1132
295.73,0.8932,0.7045,1,0.7619
57.85,0.8898,0.1571,0,0.5567
292.58,0.4093,0.5541,2,0.4537
201.57,0.2974,0.0959,1,0.5116
253.56,0.1536,0.3608,1,0.4572
248.93,0.6251,0.4803,0,0.6677
59.54,0.2918,0.0819,0,0.3636
125.27,0.4891,0.661,0,0.4354
122.38,0.371,0.3814,0,0.4339
86.36,0.4651,0.2262,1,0.3709
53.83,0.6965,0.0967,2,0.2758
167.02,0.9707,0.5897,2,0.426
122.26,0.5226,0.9656,2,0.1752
147.7,0.8817,0.4763,0,0.6286
257.64,0.0347,0.5712,2,0.2824
206.49,0.6203,0.1203,1,0.6032
295.47,0.9722,0.8085,0,0.7943
32.73,0.6831,0.2019,2,0.2067
182.56,0.3197,0.7271,0,0.4155
171.35,0.5521,0.8566,2,0.2564
263.31,0.7866,0.6231,2,0.5426
42.63,0.1496,0.5666,2,0.0
282.5,0.9249,0.5627,0,0.8521
261.57,0.8801,0.8779,1,0.6378
150.82,0.609,0.0375,1,0.5461
